tweet_id	id	name	location	url	description	followers_count	favourites_count	statuses_count	created_at	utc_offset	time_zone	profile_background_color	profile_background_image_url	profile_background_image_url_https	profile_background_tile	profile_link_color	profile_sidebar_border_color	profile_sidebar_fill_color	profile_text_color	profile_use_background_image	profile_image_url	default_profile	default_profile_image	following	follow_request_sent	notifications
870430762255953920	682583	Ryan Markel	St. Louis, MO	http://ryanmarkel.com	aka Backlogathon - I think WordPress, OSS, the FGC, speedrunning, streaming, and compassion are super-rad - 2x CB garbage game medalist - biz: ryan@26mag.com	1282	3766	25513	Mon Jan 22 21:26:57 +0000 2007	-18000	Central Time (US & Canada)	00012A	http://pbs.twimg.com/profile_background_images/212535735/galaga-bg1.png	https://pbs.twimg.com/profile_background_images/212535735/galaga-bg1.png	True	396393	8CAAD0	CEE5FF	092F60	True	http://pbs.twimg.com/profile_images/869990970728656899/Odmn1VSf_normal.jpg	False	False	None	None	None
870430796485726208	229924764	lil bit ud83dude08ud83dude07	Cleveland, OH	None	photography | cinematography | higher education Name one genius that ain't crazy ud83eudd37ud83cudffdu200du2640ufe0f	2389	17104	110949	Thu Dec 23 18:35:34 +0000 2010	-18000	Central Time (US & Canada)	4A0678	http://pbs.twimg.com/profile_background_images/377213205/Classics.jpg	https://pbs.twimg.com/profile_background_images/377213205/Classics.jpg	True	CF0000	D11E1E	3D4234	000000	True	http://pbs.twimg.com/profile_images/830128143302324225/f9ZUz72y_normal.jpg	False	False	None	None	None
870431037456879616	1010610270	Bonejaggles	Sunnyside, WA	None	|02.19.2014 C.G| vete a la chingada.	1107	6178	52524	Fri Dec 14 07:33:18 +0000 2012	-25200	Pacific Time (US & Canada)	000000	http://pbs.twimg.com/profile_background_images/495494601558355970/2MZxAUHW.png	https://pbs.twimg.com/profile_background_images/495494601558355970/2MZxAUHW.png	True	FFFFFF	FFFFFF	DDEEF6	333333	True	http://pbs.twimg.com/profile_images/794751935052062720/kJX5Pybs_normal.jpg	False	False	None	None	None
870433493569855488	767033396	Robbie Mackinlay	Albury	None	Works for Cricket NSW/Sydney Thunder. Freelance Sports Commentator for 1494 2AY 3NE 1566 & ABC 675 Riverina. Carlton and South Sydney supporter. All views mine	1960	1562	9876	Sun Aug 19 06:15:17 +0000 2012	None	None	C0DEED	http://abs.twimg.com/images/themes/theme1/bg.png	https://abs.twimg.com/images/themes/theme1/bg.png	False	1DA1F2	C0DEED	DDEEF6	333333	True	http://pbs.twimg.com/profile_images/3691790965/86774fb282bc5b153786c24068fac866_normal.jpeg	True	False	None	None	None
870433494790529024	38459352	!= 'susan'	orange blossoms + salt water 	http://mouseandmountain.com	(tiny) house-builder & plant whisperer. Queen Nanny taught me.	1919	13508	88913	Thu May 07 16:09:31 +0000 2009	-14400	Eastern Time (US & Canada)	B2DFDA	http://pbs.twimg.com/profile_background_images/449759160112934912/xIVkXBWx.jpeg	https://pbs.twimg.com/profile_background_images/449759160112934912/xIVkXBWx.jpeg	True	ABB8C2	FFFFFF	FFFFFF	333333	True	http://pbs.twimg.com/profile_images/859920937642323968/U2DHQJev_normal.jpg	False	False	None	None	None
870433495725637632	196063263	Cleantech news Aus	Australia	None	Sustainability, sustainable energy and cleantech news relevant to all industry sectors in Australia and the world.	1997	1069	7636	Tue Sep 28 07:05:13 +0000 2010	28800	Perth	185B82	http://pbs.twimg.com/profile_background_images/160585447/WASEA-single-logo.jpg	https://pbs.twimg.com/profile_background_images/160585447/WASEA-single-logo.jpg	False	D46626	0716E8	D0EEFA	E35F12	False	http://pbs.twimg.com/profile_images/537472359741915136/e7rQ5gpE_normal.png	False	False	None	None	None
870433496182906880	90746363	Libby Hill	California via South Dakota	http://www.latimes.com/la-bio-libby-hill-staff.html	Ecstatic disaster u2022  Girl Friday u2022 VP of Spite u2022 @latimes ent reporter u2022 Nolite te bastardes carborundorum u2022 I kept myself alive u2022 Nevertheless, she persisted	6981	9659	90392	Tue Nov 17 23:20:19 +0000 2009	-25200	Pacific Time (US & Canada)	C0DEED	http://pbs.twimg.com/profile_background_images/586009455310999552/AXsnBPW4.jpg	https://pbs.twimg.com/profile_background_images/586009455310999552/AXsnBPW4.jpg	True	333399	000000	EFEFEF	333333	True	http://pbs.twimg.com/profile_images/837429703921152004/O8S7XgP9_normal.jpg	False	False	None	None	None
870433505955676161	3362022226	melanie	None	http://WUPHF.com	talking a lot but not saying anything	1290	65948	32997	Mon Jul 06 06:51:11 +0000 2015	-25200	Pacific Time (US & Canada)	000000	http://pbs.twimg.com/profile_background_images/618160770778570752/G2R4T-Jg.png	https://pbs.twimg.com/profile_background_images/618160770778570752/G2R4T-Jg.png	True	9266CC	000000	000000	000000	True	http://pbs.twimg.com/profile_images/854580681812451328/bj11ShD__normal.jpg	False	False	None	None	None
870433511228006401	842279415388209152	VAIBHAV AGRAWAL	USA	None	None	2	0	12	Thu Mar 16 07:40:36 +0000 2017	None	None	F5F8FA			False	1DA1F2	C0DEED	DDEEF6	333333	True	http://pbs.twimg.com/profile_images/861900084778344449/VSpoSyVp_normal.jpg	True	False	None	None	None
870433514335895552	19340529	Outpost Magazine	Toronto, Canada	https://outpostmagazine.com	Canada's biggest independent adventure travel media company. #TanYourMind, travel for real.	8233	6146	11835	Thu Jan 22 14:39:11 +0000 2009	-14400	Eastern Time (US & Canada)	EBEBEB	http://pbs.twimg.com/profile_background_images/624116711/f7a713iw9nmci6emyoy6.jpeg	https://pbs.twimg.com/profile_background_images/624116711/f7a713iw9nmci6emyoy6.jpeg	False	206020	000000	F3F3F3	333333	True	http://pbs.twimg.com/profile_images/750427667313242112/BiYFvgqC_normal.jpg	False	False	None	None	None
870433519209730050	822699372	Onymous Blithe	Awesomeville	None	I just want to make a difference in this universe IG: mirmalade  La Femme	504	794	12721	Fri Sep 14 04:55:09 +0000 2012	7200	Amsterdam	ED6889	http://pbs.twimg.com/profile_background_images/378800000045726843/656d1bf23783923bd7abdc314130820a.jpeg	https://pbs.twimg.com/profile_background_images/378800000045726843/656d1bf23783923bd7abdc314130820a.jpeg	True	51967D	FFFFFF	E3E2DE	634047	True	http://pbs.twimg.com/profile_images/821427058828083201/F8VE7ZC0_normal.jpg	False	False	None	None	None
870433519587270656	453376212	JOSHUA	None	http://viatheden.com	From the Culture, For the Culture. ud83cudf0e	678	4445	10472	Mon Jan 02 21:26:58 +0000 2012	-21600	Mountain Time (US & Canada)	000000	http://pbs.twimg.com/profile_background_images/620410524010856448/v0SaWXmN.png	https://pbs.twimg.com/profile_background_images/620410524010856448/v0SaWXmN.png	True	000000	000000	000000	2BB9CC	True	http://pbs.twimg.com/profile_images/862944109085982720/5QFWR0MZ_normal.jpg	False	False	None	None	None
870433521633984512	821816644632793088	Peter King	Gwagwalada, Nigeria	None	None	46	7	384	Wed Jan 18 20:28:51 +0000 2017	None	None	F5F8FA			False	1DA1F2	C0DEED	DDEEF6	333333	True	http://pbs.twimg.com/profile_images/821817640008163328/FvnBfukU_normal.jpg	True	False	None	None	None
870431045069438976	1250304822	Amanda Paula	None	None	Alimente sua Fu00c9 e todos os medos morreru00e3o de fome!ud83dude4f	499	408	1191	Fri Mar 08 00:05:26 +0000 2013	-10800	Brasilia	0099B9	http://pbs.twimg.com/profile_background_images/559817525932748801/zYFAFziv.jpeg	https://pbs.twimg.com/profile_background_images/559817525932748801/zYFAFziv.jpeg	True	0099B9	FFFFFF	DDEEF6	333333	True	http://pbs.twimg.com/profile_images/851226751187464193/OD9Y1e24_normal.jpg	False	False	None	None	None
870433528277864448	160671435	Brittany Bechhold	Earth	None	u00af_(u30c4)_/u00af	415	9186	5873	Mon Jun 28 20:54:40 +0000 2010	-18000	Quito	000000	http://abs.twimg.com/images/themes/theme14/bg.gif	https://abs.twimg.com/images/themes/theme14/bg.gif	False	000000	000000	000000	000000	False	http://pbs.twimg.com/profile_images/756498357925720064/7p-zfeHX_normal.jpg	False	False	None	None	None
870433529796206592	548817678	Kyle Gebelein	None	None	proud husband and father. fitness & food obsessed,	23	46	139	Sun Apr 08 21:37:34 +0000 2012	None	None	C0DEED	http://abs.twimg.com/images/themes/theme1/bg.png	https://abs.twimg.com/images/themes/theme1/bg.png	False	1DA1F2	C0DEED	DDEEF6	333333	True	http://pbs.twimg.com/profile_images/798603194209337344/n9Q8zCpE_normal.jpg	True	False	None	None	None
870433531796881409	787259755274395648	cml5725	None	None	None	2	14	967	Sat Oct 15 11:52:07 +0000 2016	None	None	F5F8FA			False	1DA1F2	C0DEED	DDEEF6	333333	True	http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png	True	False	None	None	None
870433531582980101	720162119166124032	ud83dudc2fMud83dudc2f	Abu Dhabi, United Arab Emirates	None	u0645u062du0645u062f u0639u0628u064au062f u062du064au0631u064a u0633u0627u0644u0645 u0641u0631u0647u0648u062f u0627u0644u0643u062au0628u064a	57	107	252	Wed Apr 13 08:10:03 +0000 2016	None	None	F5F8FA			False	1DA1F2	C0DEED	DDEEF6	333333	True	http://pbs.twimg.com/profile_images/759315233055793152/1C7e0JaM_normal.jpg	True	False	None	None	None
870433534158266369	1007516658	Danielle Oldenburgud83dudc97	Probably with Kyle Koscheud83dude0aud83dudc97	http://www.GoFuckYourself.com	Junior @ CHS u2600ufe0fThe past can hurt, but the way I see it, you can either run from it, or learn from it.u2600ufe0f - The Lion King u2653ufe0fIV u00b7 II u00b7 MMXVIIud83dudc40ud83dude07ud83dudc97 @kosche_kyleud83dude0d	1010	28347	21361	Wed Dec 12 23:13:18 +0000 2012	28800	Beijing	7ECBF2	http://pbs.twimg.com/profile_background_images/378800000043787059/dfbef3a33586923aa4bc6519f0b7f214.jpeg	https://pbs.twimg.com/profile_background_images/378800000043787059/dfbef3a33586923aa4bc6519f0b7f214.jpeg	True	C151ED	000000	DDEEF6	333333	True	http://pbs.twimg.com/profile_images/867264780620451840/GqjRxahM_normal.jpg	False	False	None	None	None
